Initials_4letter,YYYYMMDDHHMM,Substrate,Treatment,col1mm2,col2mm2,col3mm2,Temp_C
ChSe,202101231702,Naan,Dark ,28.602,20.801,7.286,20
ChSe,202101240946,Naan,Dark ,34.335,44.38,9.118,20
ChSe,202101241603,Naan ,Dark ,42.096,53.364,11.094,20
ChSe,202101242202,Naan,Dark ,43.937,58.753,12.335,20
ChSe,202101250805,Naan,Dark ,74.065,97.022,14.057,20
ChSe,202101251529,Naan,Dark ,99.123,114.534,17.222,20
ChSe,202101252025,Naan,Dark ,99.162,116.654,,20
AnMa,202101262303,CranewoodSlice,Control,76.18,3.588,,
AnMa,202101262303,CranewoodSlice,Dark,23.837,11.515,49.009,
RlMi,202101211506,Naan,Dark,30.295,16.07,30.111,20
RlMi,202101221442,Naan,Dark,11.705,17.446,44.985,20
RlMi,202101230955,Naan,Dark,13.89,52.694,51.728,20
RlMi,202101231702,Naan,Dark ,20.903,60.578,55.337,20
RlMi ,202101240946,Naan,Dark ,15.662,75.419,58.568,20
RlMi,202101241603,Naan,Dark,16.772,92.224,55.773,20
RlMi,202101242202,Naan,Dark,11.525,117.532,58.599,20
RlMi,202101250805,Naan,Dark,28.935,144.285,38.693,20
AnMa,202101270842,CranewoodSlice,Control,178.143,17.459,,
AnMa,202101270842,CranewoodSlice,Dark,52.362,54.174,97.054,
LaSw,202101260823,Naan,Dark,169.935,120.998,28.302,20
LaSw,202101261715,Naan,Dark,194.151,124.642,32.993,20
LaSw,202101262155,Naan,Dark,198.899,158.394,37.257,20
BaMu,202101251529,Naan,Dark,107.614,128.906,31.384,20
BaMu,202101252025,Naan,Dark,111.836,132.472,32.881,20
SaCr,202101211506,Naan,Dark,8.658,2.991,5.372,20
SaCr,202101221442,Naan,Dark,18.11,3.346,5.218,20
SaCr,202101230955,Naan,Dark,29.311,16.995,2.765,20
SaCr,202101231702,Naan,Dark,34.706,23.825,6.108,20
SaCr,202101240946,Naan,Dark,43.159,37.666,7.233,20
SaCr,202101241603,Naan,Dark,45.488,46.367,5.157,20
SaCr,202101242202,Naan,Dark,49.045,58.867,6.534,20
SaCr,202101250805,Naan,Dark,60.257,92.662,8.508,20
SaCr,202101251529,Naan,Dark,93.614,110.907,12.161,20
SaCr,202101252025,Naan,Dark,106.581,120.8,5.391,20
SaCr,202101260823,Naan,Dark,237.886,164.456,21.998,20
SaCr,202101261715,Naan,Dark,295.234,180.159,31.352,20
SaCr,202101262155,Naan,Dark,355.986,230.874,43.889,20
